Date,Town,State/Province,Latitude,Longitude,Number
7/25/2021,Lubbock,TX,33.5,-101.9,1
7/25/2021,Mansfield,MA,42,-71.3,1
7/25/2021,Marietta,OH,39.4,-81.5,1
7/25/2021,Midlothian,VA,37.4,-77.7,1
7/25/2021,Mount Laurel,NJ,39.9,-74.9,1
7/25/2021,Myrtle Beach,SC,33.7,-78.9,1
7/25/2021,New Orleans,LA,30,-90.1,2
7/25/2021,Pittsburgh,PA,40.4,-80.1,1
7/25/2021,Rochester,NY,43.1,-77.6,1
7/25/2021,Silver City,NM,32.8,-108.3,1
7/25/2021,Tiffin,OH,41.1,-83.2,1
7/25/2021,Topeka,KS,39,-95.6,3
7/25/2021,Tulsa,OK,36.1,-95.9,1
7/25/2021,Tulsa,OK,36.1,-95.9,1
7/24/2021,Abington,PA,40.1,-75.1,1
7/24/2021,Austin,TX,30.2,-98,1
7/24/2021,Baxter,MN,46.3,-94.3,2
7/24/2021,Bellaire,TX,29.7,-95.5,1
7/24/2021,Bloomingdale,NJ,41,-74.3,2
7/24/2021,Burke,VA,38.8,-77.3,1
7/24/2021,Chilmark,MA,41.4,-70.8,1
7/24/2021,Church Hill,TN,36.5,-82.7,1
7/24/2021,Columbia,NJ,40.9,-75.1,2
7/24/2021,Downers Grove,IL,41.8,-88,1
7/24/2021,Elyria,OH,41.4,-82.1,1
7/24/2021,Exeter,NH,43,-71,1
7/24/2021,Harkers Island,NC,34.7,-76.6,1
7/24/2021,Joliet,IL,41.5,-88,1
7/24/2021,Mcallen,TX,26.2,-98.2,1
7/24/2021,Moab,UT,38.6,-109.5,1
7/24/2021,Moncton,NB,46.1,-64.8,1
7/24/2021,Mount Juliet,TN,36.2,-86.5,1
7/24/2021,New Orleans,LA,30,-90.1,1
7/24/2021,New Orleans,LA,30,-90.1,1
7/24/2021,North Richland Hills,TX,32.9,-97.2,1
7/24/2021,Painted Post,NY,42.1,-77.1,1
7/24/2021,Pittsburgh,PA,40.4,-79.9,0
7/24/2021,Queens,NS,44,-64.7,1
7/24/2021,Sandusky,OH,41.4,-82.7,1
7/24/2021,Wakefield,MA,42.5,-71.1,1
7/24/2021,Washington,DC,38.9,-77,1
7/24/2021,Willis,TX,30.4,-95.6,1
7/24/2021,Willis,TX,30.4,-95.6,1
7/23/2021,Appleton,WI,44.3,-88.4,1
