Tag Code,Report Season,Location,latitude,longitude
AAZL084,2020,El Rosario,30.0595,-115.7257
AAZL739,2020,El Rosario,30.0595,-115.7257
AAZZ109,2020,El Rosario,30.0595,-115.7257
ABAJ426,2020,El Rosario,30.0595,-115.7257
ABAM146,2020,El Rosario,30.0595,-115.7257
ABBA678,2020,El Rosario,30.0595,-115.7257
ABBE150,2020,El Rosario,30.0595,-115.7257
ABBS086,2020,El Rosario,30.0595,-115.7257
ABBY598,2020,El Rosario,30.0595,-115.7257
ABCB012,2020,El Rosario,30.0595,-115.7257
ABCB041,2020,El Rosario,30.0595,-115.7257
ABCP029,2020,El Rosario,30.0595,-115.7257
ABCP212,2020,El Rosario,30.0595,-115.7257
ABCP252,2020,El Rosario,30.0595,-115.7257
ABCP629,2020,El Rosario,30.0595,-115.7257
ABET228,2020,El Rosario,30.0595,-115.7257
ABGA632,2020,El Rosario,30.0595,-115.7257
ABGC002,2020,El Rosario,30.0595,-115.7257
ABGC177,2020,El Rosario,30.0595,-115.7257
ABGN645,2020,El Rosario,30.0595,-115.7257
ABHP428,2020,El Rosario,30.0595,-115.7257
ABHR062,2020,El Rosario,30.0595,-115.7257
ABHT387,2020,El Rosario,30.0595,-115.7257
ABHT471,2020,El Rosario,30.0595,-115.7257
ABHT496,2020,El Rosario,30.0595,-115.7257
ABJJ869,2020,El Rosario,30.0595,-115.7257
ABJJ906,2020,El Rosario,30.0595,-115.7257
ABJM990,2020,El Rosario,30.0595,-115.7257
ABJY682,2020,El Rosario,30.0595,-115.7257
ABLM110,2020,El Rosario,30.0595,-115.7257
ABLP137,2020,El Rosario,30.0595,-115.7257
ABMH391,2020,El Rosario,30.0595,-115.7257
ABMJ215,2020,El Rosario,30.0595,-115.7257
ABMR973,2020,El Rosario,30.0595,-115.7257
ABMS147,2020,El Rosario,30.0595,-115.7257
ABNS811,2020,El Rosario,30.0595,-115.7257
ABPE611,2020,El Rosario,30.0595,-115.7257
ABPG572,2020,El Rosario,30.0595,-115.7257
ABPL973,2020,El Rosario,30.0595,-115.7257
ABPM116,2020,El Rosario,30.0595,-115.7257
ABPP254,2020,El Rosario,30.0595,-115.7257
ABPP275,2020,El Rosario,30.0595,-115.7257
ABPR693,2020,El Rosario,30.0595,-115.7257
ABPR902,2020,El Rosario,30.0595,-115.7257
ABPT047,2020,El Rosario,30.0595,-115.7257
ABPT397,2020,El Rosario,30.0595,-115.7257
ABPT515,2020,El Rosario,30.0595,-115.7257
ABPT750,2020,El Rosario,30.0595,-115.7257
ABPU063,2020,El Rosario,30.0595,-115.7257
ABPU471,2020,El Rosario,30.0595,-115.7257
ABPX254,2020,El Rosario,30.0595,-115.7257
ABPX751,2020,El Rosario,30.0595,-115.7257
ABRE392,2020,El Rosario,30.0595,-115.7257
ABRE406,2020,El Rosario,30.0595,-115.7257
ABRJ180,2020,El Rosario,30.0595,-115.7257
ABRJ741,2020,El Rosario,30.0595,-115.7257
ABRN701,2020,El Rosario,30.0595,-115.7257
ABRW354,2020,El Rosario,30.0595,-115.7257
ABSA184,2020,El Rosario,30.0595,-115.7257
ABSG527,2020,El Rosario,30.0595,-115.7257
ABSH347,2020,El Rosario,30.0595,-115.7257
ABSJ928,2020,El Rosario,30.0595,-115.7257
ABSL231,2020,El Rosario,30.0595,-115.7257
ABSL443,2020,El Rosario,30.0595,-115.7257
ABSL850,2020,El Rosario,30.0595,-115.7257
ABSL907,2020,El Rosario,30.0595,-115.7257
ABSM053,2020,El Rosario,30.0595,-115.7257
ABSM133,2020,El Rosario,30.0595,-115.7257
ABSN548,2020,El Rosario,30.0595,-115.7257
ABSS632,2020,El Rosario,30.0595,-115.7257
ABSU429,2020,El Rosario,30.0595,-115.7257
ABSX380,2020,El Rosario,30.0595,-115.7257
ABSX463,2020,El Rosario,30.0595,-115.7257
ABSZ655,2020,El Rosario,30.0595,-115.7257
ABTA314,2020,El Rosario,30.0595,-115.7257
ABTA494,2020,El Rosario,30.0595,-115.7257
ABTA519,2020,El Rosario,30.0595,-115.7257
ABTE341,2020,El Rosario,30.0595,-115.7257
ABTG469,2020,El Rosario,30.0595,-115.7257
ABTG498,2020,El Rosario,30.0595,-115.7257
ABTH839,2020,El Rosario,30.0595,-115.7257
ABTJ510,2020,El Rosario,30.0595,-115.7257
ABTJ570,2020,El Rosario,30.0595,-115.7257
ABTM475,2020,El Rosario,30.0595,-115.7257
ABTR966,2020,El Rosario,30.0595,-115.7257
ABTS260,2020,El Rosario,30.0595,-115.7257
ABTT132,2020,El Rosario,30.0595,-115.7257
ABTT821,2020,El Rosario,30.0595,-115.7257
ABTY654,2020,El Rosario,30.0595,-115.7257
ABTZ402,2020,El Rosario,30.0595,-115.7257
ABTZ431,2020,El Rosario,30.0595,-115.7257
ABUB704,2020,El Rosario,30.0595,-115.7257
ABUC759,2020,El Rosario,30.0595,-115.7257
ABUC789,2020,El Rosario,30.0595,-115.7257
ABUC937,2020,El Rosario,30.0595,-115.7257
ABUE681,2020,El Rosario,30.0595,-115.7257
ABUG275,2020,El Rosario,30.0595,-115.7257
