month,year,lat_range,adult_first_sight_dates,adult_first_sight_number,adult_first_sight_distinct_dates
8,2011,35+_TO_40,3,3,3
8,2011,4O+_TO_45,9,9,5
8,2013,35+_TO_40,3,3,3
8,2013,45+_TO_50,2,2,1
8,2013,4O+_TO_45,21,21,11
8,2014,30+_TO_35,1,1,1
8,2014,35+_TO_40,2,2,2
8,2014,45+_TO_50,1,1,1
8,2014,4O+_TO_45,8,8,7
8,2015,35+_TO_40,1,1,1
8,2015,4O+_TO_45,1,2,1
8,2016,45+_TO_50,1,1,1
8,2016,4O+_TO_45,4,4,3
8,2018,4O+_TO_45,1,3,1
8,2020,4O+_TO_45,2,2,2
9,1999,25+_TO_30,7,7,6
9,1999,30+_TO_35,64,64,22
9,1999,35+_TO_40,70,70,26
9,1999,45+_TO_50,20,20,13
9,1999,4O+_TO_45,210,210,28
9,2000,25+_TO_30,6,6,4
9,2000,30+_TO_35,45,45,17
9,2000,35+_TO_40,59,59,22
9,2000,45+_TO_50,3,3,3
9,2000,4O+_TO_45,116,116,26
9,2001,25+_TO_30,16,16,14
9,2001,30+_TO_35,90,90,27
9,2001,35+_TO_40,100,100,27
9,2001,45+_TO_50,5,5,5
9,2001,4O+_TO_45,171,171,30
9,2002,20_OR_LESS,1,1,1
9,2002,25+_TO_30,11,11,10
9,2002,30+_TO_35,70,70,25
9,2002,35+_TO_40,102,131,28
9,2002,45+_TO_50,8,8,6
9,2002,4O+_TO_45,267,267,30
9,2003,25+_TO_30,20,20,12
9,2003,30+_TO_35,80,80,28
9,2003,35+_TO_40,110,132,28
9,2003,45+_TO_50,30,30,16
9,2003,4O+_TO_45,244,244,30
9,2004,25+_TO_30,13,13,9
9,2004,30+_TO_35,77,77,24
9,2004,35+_TO_40,65,65,25
9,2004,45+_TO_50,10,10,9
9,2004,4O+_TO_45,119,119,30
9,2005,25+_TO_30,22,22,14
9,2005,30+_TO_35,77,77,26
9,2005,35+_TO_40,122,122,30
9,2005,45+_TO_50,12,12,7
9,2005,4O+_TO_45,235,235,30
9,2006,20+_TO_25,1,1,1
9,2006,25+_TO_30,28,28,16
9,2006,30+_TO_35,81,81,26
9,2006,35+_TO_40,185,244,28
9,2006,45+_TO_50,11,11,8
9,2006,4O+_TO_45,279,279,30
9,2007,25+_TO_30,25,25,16
9,2007,30+_TO_35,47,47,25
9,2007,35+_TO_40,167,186,30
9,2007,45+_TO_50,7,7,5
9,2007,4O+_TO_45,179,179,29
9,2007,5O+_OR_GREATER,2,2,2
9,2008,25+_TO_30,20,20,16
9,2008,30+_TO_35,73,73,24
9,2008,35+_TO_40,148,148,28
9,2008,45+_TO_50,6,6,6
9,2008,4O+_TO_45,197,197,30
9,2009,20+_TO_25,1,1,1
9,2009,25+_TO_30,50,50,22
9,2009,30+_TO_35,137,137,30
9,2009,35+_TO_40,218,273,30
9,2009,45+_TO_50,16,16,13
9,2009,4O+_TO_45,260,260,30
9,2010,30+_TO_35,2,2,1
9,2010,35+_TO_40,1,1,1
9,2011,35+_TO_40,2,69,2
9,2015,35+_TO_40,1,1,1
9,2018,35+_TO_40,1,1,1
10,1999,20+_TO_25,8,8,7
10,1999,20_OR_LESS,1,1,1
10,1999,25+_TO_30,36,36,19
10,1999,30+_TO_35,85,85,19
10,1999,35+_TO_40,34,34,13
10,1999,4O+_TO_45,9,9,7
10,2000,25+_TO_30,7,7,7
10,2000,30+_TO_35,29,29,20
10,2000,35+_TO_40,30,30,18
10,2000,4O+_TO_45,87,87,22
10,2001,25+_TO_30,30,30,18
10,2001,30+_TO_35,58,58,16
10,2001,35+_TO_40,34,34,15
10,2001,45+_TO_50,1,1,1
10,2001,4O+_TO_45,27,27,12
10,2002,20+_TO_25,1,1,1
10,2002,25+_TO_30,46,46,22
10,2002,30+_TO_35,94,94,24
10,2002,35+_TO_40,43,43,18
10,2002,4O+_TO_45,44,44,13
10,2003,20+_TO_25,3,3,2
10,2003,20_OR_LESS,1,1,1
10,2003,25+_TO_30,78,78,27
10,2003,30+_TO_35,199,199,28
10,2003,35+_TO_40,66,66,26
10,2003,45+_TO_50,6,6,4
10,2003,4O+_TO_45,88,88,23
10,2004,25+_TO_30,65,65,25
10,2004,30+_TO_35,173,173,31
10,2004,35+_TO_40,73,73,24
10,2004,45+_TO_50,2,2,2
10,2004,4O+_TO_45,54,54,18
10,2005,20+_TO_25,2,2,2
10,2005,20_OR_LESS,2,2,1
10,2005,25+_TO_30,46,46,24
10,2005,30+_TO_35,160,160,28
10,2005,35+_TO_40,83,83,26
10,2005,45+_TO_50,8,8,7
10,2005,4O+_TO_45,72,72,18
10,2006,20+_TO_25,3,3,3
10,2006,25+_TO_30,88,88,29
10,2006,30+_TO_35,145,145,27
10,2006,35+_TO_40,101,101,23
10,2006,45+_TO_50,7,7,7
10,2006,4O+_TO_45,108,108,21
10,2007,20+_TO_25,10,10,7
10,2007,20_OR_LESS,3,3,2
10,2007,25+_TO_30,140,140,25
10,2007,30+_TO_35,144,144,28
10,2007,35+_TO_40,103,103,28
10,2007,45+_TO_50,2,2,2
10,2007,4O+_TO_45,87,87,27
10,2008,20+_TO_25,2,2,2
10,2008,20_OR_LESS,2,2,2
10,2008,25+_TO_30,35,35,21
10,2008,30+_TO_35,112,112,27
10,2008,35+_TO_40,97,97,27
10,2008,45+_TO_50,1,1,1
10,2008,4O+_TO_45,70,70,21
10,2009,20+_TO_25,4,4,3
10,2009,25+_TO_30,103,103,30
10,2009,30+_TO_35,184,184,31
10,2009,35+_TO_40,174,174,29
10,2009,45+_TO_50,3,3,3
10,2009,4O+_TO_45,108,108,27
10,2010,35+_TO_40,1,1,1
10,2013,35+_TO_40,1,1,1
10,2014,35+_TO_40,1,1,1
10,2016,30+_TO_35,1,1,1
10,2017,25+_TO_30,1,1,1
11,1998,35+_TO_40,1,1,1
11,1999,25+_TO_30,1,1,1
11,1999,4O+_TO_45,1,1,1
11,2000,25+_TO_30,2,2,2
11,2000,30+_TO_35,3,3,3
11,2000,35+_TO_40,4,4,4
11,2001,25+_TO_30,3,3,3
11,2001,30+_TO_35,3,3,3
11,2001,35+_TO_40,5,5,4
11,2002,25+_TO_30,7,7,5
11,2002,30+_TO_35,3,3,3
11,2002,35+_TO_40,1,1,1
11,2002,4O+_TO_45,2,2,1
11,2003,20+_TO_25,1,1,1
11,2003,25+_TO_30,16,16,10
11,2003,30+_TO_35,30,30,10
11,2003,35+_TO_40,11,11,7
11,2003,4O+_TO_45,3,3,2
11,2004,25+_TO_30,23,23,17
11,2004,30+_TO_35,20,20,11
11,2004,35+_TO_40,4,4,3
11,2004,4O+_TO_45,2,2,2
11,2005,20+_TO_25,1,1,1
11,2005,20_OR_LESS,1,1,1
11,2005,25+_TO_30,11,11,10
11,2005,30+_TO_35,8,8,7
11,2005,35+_TO_40,10,10,6
11,2005,4O+_TO_45,5,5,3
11,2006,20+_TO_25,3,3,3
11,2006,25+_TO_30,6,6,6
11,2006,30+_TO_35,6,6,4
11,2006,35+_TO_40,4,4,4
11,2006,4O+_TO_45,2,2,2
11,2007,25+_TO_30,6,6,5
11,2007,30+_TO_35,2,2,2
11,2007,35+_TO_40,9,9,7
11,2007,4O+_TO_45,1,1,1
11,2008,20+_TO_25,2,2,2
11,2008,25+_TO_30,7,7,5
11,2008,30+_TO_35,17,17,12
11,2008,35+_TO_40,3,3,3
11,2008,4O+_TO_45,3,3,2
11,2009,20+_TO_25,1,1,1
11,2009,20_OR_LESS,1,1,1
11,2009,25+_TO_30,48,48,20
11,2009,30+_TO_35,47,47,17
11,2009,35+_TO_40,21,21,10
11,2009,4O+_TO_45,14,14,7
11,2010,35+_TO_40,1,1,1
11,2017,25+_TO_30,1,1,1
12,1997,25+_TO_30,1,1,1
12,1998,30+_TO_35,2,2,2
12,1999,25+_TO_30,2,2,2
12,2001,25+_TO_30,1,1,1
12,2001,35+_TO_40,1,1,1
12,2004,25+_TO_30,2,2,2
12,2005,25+_TO_30,2,2,2
12,2006,20_OR_LESS,1,1,1
12,2006,4O+_TO_45,1,1,1
12,2007,20_OR_LESS,1,1,1
12,2007,30+_TO_35,2,2,2
12,2007,35+_TO_40,2,2,2
12,2008,25+_TO_30,1,1,1
12,2008,30+_TO_35,1,1,1
12,2009,25+_TO_30,1,1,1
12,2009,30+_TO_35,1,1,1
12,2009,35+_TO_40,1,1,1
12,2014,30+_TO_35,1,1,1
12,2015,25+_TO_30,1,2,1
12,2018,20_OR_LESS,1,5,1
12,2020,30+_TO_35,1,2,1
