month,year,lat_range,adult_first_sight_dates,adult_first_sight_number,adult_first_sight_distinct_dates
3,2012,35+_TO_40,42,42,16
3,2013,20+_TO_25,7,7,6
3,2013,20_OR_LESS,2,2,2
3,2013,25+_TO_30,38,38,21
3,2013,30+_TO_35,68,68,24
3,2013,35+_TO_40,2,2,1
3,2014,20+_TO_25,17,26,11
3,2014,20_OR_LESS,2,2,2
3,2014,25+_TO_30,77,77,24
3,2014,30+_TO_35,79,79,21
3,2014,35+_TO_40,10,10,8
3,2015,20+_TO_25,6,6,5
3,2015,25+_TO_30,62,62,21
3,2015,30+_TO_35,50,50,18
3,2015,35+_TO_40,13,13,10
3,2015,4O+_TO_45,1,1,1
3,2016,20+_TO_25,9,124,7
3,2016,20_OR_LESS,2,1003,1
3,2016,25+_TO_30,72,109,27
3,2016,30+_TO_35,81,101,25
3,2016,35+_TO_40,7,8,7
3,2017,20+_TO_25,5,464,5
3,2017,20_OR_LESS,2,101,2
3,2017,25+_TO_30,71,96,26
3,2017,30+_TO_35,131,154,28
3,2017,35+_TO_40,22,26,14
3,2018,20+_TO_25,25,500765,13
3,2018,20_OR_LESS,4,2012,4
3,2018,25+_TO_30,122,608,29
3,2018,30+_TO_35,215,324,29
3,2018,35+_TO_40,16,18,7
3,2019,20+_TO_25,6,167,3
3,2019,25+_TO_30,93,232,25
3,2019,30+_TO_35,260,499,30
3,2019,35+_TO_40,24,31,13
3,2019,4O+_TO_45,2,2,2
3,2020,20+_TO_25,12,2420,9
3,2020,25+_TO_30,78,148,28
3,2020,30+_TO_35,274,407,28
3,2020,35+_TO_40,39,49,12
4,1997,35+_TO_40,6,6,6
4,1998,25+_TO_30,3,3,3
4,1998,30+_TO_35,22,22,12
4,1998,35+_TO_40,31,31,18
4,1998,4O+_TO_45,12,12,10
4,1999,25+_TO_30,4,4,4
4,1999,30+_TO_35,20,20,12
4,1999,35+_TO_40,62,62,25
4,1999,4O+_TO_45,5,5,4
4,2000,30+_TO_35,14,14,9
4,2000,35+_TO_40,79,79,24
4,2000,4O+_TO_45,19,19,11
4,2001,25+_TO_30,8,8,7
4,2001,30+_TO_35,51,51,17
4,2001,35+_TO_40,38,38,21
4,2001,4O+_TO_45,6,6,5
4,2002,25+_TO_30,7,7,6
4,2002,30+_TO_35,30,30,17
4,2002,35+_TO_40,44,44,20
4,2002,4O+_TO_45,5,5,5
4,2003,25+_TO_30,2,2,2
