month,year,lat_range,peak_migration_dates,peak_migration_number,peak_migration_distinct_dates
10,2005,35+_TO_40,27,27,14
10,2005,4O+_TO_45,10,10,6
10,2006,20+_TO_25,2,2,2
10,2006,25+_TO_30,67,67,19
10,2006,30+_TO_35,59,59,21
10,2006,35+_TO_40,34,34,14
10,2006,4O+_TO_45,23,23,7
10,2007,20+_TO_25,4,4,4
10,2007,25+_TO_30,70,70,13
10,2007,30+_TO_35,51,51,23
10,2007,35+_TO_40,36,36,15
10,2007,4O+_TO_45,4,4,4
10,2008,20+_TO_25,2,2,2
10,2008,25+_TO_30,26,26,12
10,2008,30+_TO_35,58,58,16
10,2008,35+_TO_40,17,17,5
10,2008,4O+_TO_45,4,4,4
10,2009,20+_TO_25,2,2,2
10,2009,25+_TO_30,40,40,15
10,2009,30+_TO_35,24,24,17
10,2009,35+_TO_40,35,1034,13
10,2009,4O+_TO_45,10,10,6
10,2010,20+_TO_25,7,7,4
10,2010,25+_TO_30,75,75,23
10,2010,30+_TO_35,80,80,26
10,2010,35+_TO_40,27,27,12
10,2010,4O+_TO_45,3,3,2
10,2011,20+_TO_25,4,730,4
10,2011,25+_TO_30,55,23583,21
10,2011,30+_TO_35,82,12145,24
10,2011,35+_TO_40,45,13287,17
10,2011,4O+_TO_45,41,6160,13
10,2012,20+_TO_25,1,25,1
10,2012,20_OR_LESS,1,33,1
10,2012,25+_TO_30,23,2622,13
10,2012,30+_TO_35,38,9996,20
10,2012,35+_TO_40,37,9836,13
10,2012,45+_TO_50,1,12,1
10,2012,4O+_TO_45,8,276,6
10,2013,20+_TO_25,4,350,3
10,2013,25+_TO_30,29,5202,13
10,2013,30+_TO_35,71,10862,20
10,2013,35+_TO_40,21,615,14
10,2013,4O+_TO_45,20,1847,10
10,2014,20+_TO_25,4,506,4
10,2014,20_OR_LESS,2,208,1
10,2014,25+_TO_30,38,16442,14
10,2014,30+_TO_35,151,19757,29
10,2014,35+_TO_40,91,10045,25
10,2014,4O+_TO_45,15,2430,8
10,2015,20+_TO_25,10,19423,6
10,2015,25+_TO_30,102,172110,19
10,2015,30+_TO_35,62,119287,21
10,2015,35+_TO_40,40,4204,16
10,2015,4O+_TO_45,7,587,6
10,2016,20+_TO_25,4,5530,3
10,2016,25+_TO_30,22,20987,14
10,2016,30+_TO_35,82,14752,24
10,2016,35+_TO_40,85,7723,23
10,2016,4O+_TO_45,16,1432,9
10,2017,20+_TO_25,15,10814,3
10,2017,20_OR_LESS,4,1682,3
10,2017,25+_TO_30,59,49089,17
10,2017,30+_TO_35,72,13131,22
10,2017,35+_TO_40,90,17403,25
10,2017,45+_TO_50,2,110,2
10,2017,4O+_TO_45,133,66905,26
10,2018,20+_TO_25,1,6000,1
10,2018,25+_TO_30,40,1048135,11
10,2018,30+_TO_35,125,23512,28
10,2018,35+_TO_40,186,68756,23
10,2018,4O+_TO_45,55,5305,16
10,2019,20+_TO_25,9,10920,6
10,2019,20_OR_LESS,1,54,1
10,2019,25+_TO_30,50,18659,18
10,2019,30+_TO_35,112,20344,25
10,2019,35+_TO_40,134,50175,16
10,2019,4O+_TO_45,36,3436,15
10,2020,20+_TO_25,5,2031,4
10,2020,20_OR_LESS,2,53,2
10,2020,25+_TO_30,21,6590,11
10,2020,30+_TO_35,18,5494,11
10,2020,35+_TO_40,35,18028,20
10,2020,4O+_TO_45,14,1169,6
11,2001,25+_TO_30,2,2,2
11,2003,20+_TO_25,1,1,1
11,2003,30+_TO_35,1,1,1
11,2003,35+_TO_40,1,1,1
11,2005,20+_TO_25,1,1,1
11,2005,20_OR_LESS,1,1,1
11,2005,25+_TO_30,2,2,2
11,2006,20+_TO_25,5,5,3
11,2006,25+_TO_30,3,3,2
11,2007,25+_TO_30,1,1,1
11,2008,20+_TO_25,1,1,1
11,2008,20_OR_LESS,2,2,2
11,2009,20+_TO_25,1,1,1
11,2009,25+_TO_30,2,2,2
11,2009,30+_TO_35,3,3,3
11,2009,4O+_TO_45,1,1,1
11,2010,20+_TO_25,2,2,2
11,2010,25+_TO_30,8,8,6
11,2010,30+_TO_35,2,2,2
11,2011,25+_TO_30,4,551,4
11,2011,30+_TO_35,1,400,1
11,2012,20+_TO_25,15,1162,2
11,2012,25+_TO_30,1,62,1
11,2012,30+_TO_35,1,6,1
11,2012,35+_TO_40,1,300,1
11,2013,20+_TO_25,5,11595,4
11,2013,25+_TO_30,5,499,4
11,2013,30+_TO_35,2,135,2
11,2014,20+_TO_25,13,106908,8
11,2014,25+_TO_30,18,9210,10
11,2015,20+_TO_25,23,17951,7
11,2015,20_OR_LESS,3,53,2
11,2015,25+_TO_30,5,1087,3
11,2015,30+_TO_35,1,1000,1
11,2016,20+_TO_25,4,740,3
11,2016,20_OR_LESS,1,1,1
11,2016,25+_TO_30,8,1708,5
11,2016,30+_TO_35,4,7,3
11,2016,35+_TO_40,1,100,1
11,2017,20+_TO_25,4,1903,1
11,2017,25+_TO_30,5,360,3
11,2017,30+_TO_35,5,252,4
11,2017,35+_TO_40,7,2500,5
11,2017,4O+_TO_45,5,395,3
11,2018,20+_TO_25,10,1011100,5
11,2018,20_OR_LESS,2,11012,2
11,2018,25+_TO_30,12,15470,7
11,2018,30+_TO_35,8,1916,7
11,2019,20+_TO_25,4,1321,4
11,2019,20_OR_LESS,2,500,2
11,2019,25+_TO_30,8,3584,5
11,2019,30+_TO_35,5,363,5
11,2020,25+_TO_30,2,230,2
11,2020,30+_TO_35,1,50,1
11,2020,35+_TO_40,5,238,5
11,2020,4O+_TO_45,1,24,1
12,2000,25+_TO_30,1,1,1
12,2006,20_OR_LESS,1,1,1
12,2007,20_OR_LESS,1,1,1
12,2010,35+_TO_40,1,1,1
