month,year,lat_range,egg_first_sight_dates,egg_first_sight_number,egg_first_sight_distinct_dates
4,2015,35+_TO_40,18,18,12
4,2015,4O+_TO_45,1,104,1
4,2016,20+_TO_25,2,5,1
4,2016,25+_TO_30,6,25,5
4,2016,30+_TO_35,26,70,18
4,2016,35+_TO_40,13,173,11
4,2017,25+_TO_30,9,59,9
4,2017,30+_TO_35,57,1204,19
4,2017,35+_TO_40,205,3710,28
4,2017,4O+_TO_45,24,476,13
4,2018,25+_TO_30,8,57,7
4,2018,30+_TO_35,44,675,21
4,2018,35+_TO_40,41,508,20
4,2019,25+_TO_30,3,20,3
4,2019,30+_TO_35,44,702,22
4,2019,35+_TO_40,106,1580,25
4,2019,4O+_TO_45,4,47,3
4,2020,25+_TO_30,2,7,2
4,2020,30+_TO_35,37,570,16
4,2020,35+_TO_40,94,1576,28
4,2020,4O+_TO_45,1,2,1
5,1998,30+_TO_35,1,1,1
5,1998,35+_TO_40,2,2,2
5,1998,4O+_TO_45,2,2,2
5,2000,35+_TO_40,3,3,3
5,2000,45+_TO_50,4,4,3
5,2000,4O+_TO_45,19,19,14
5,2001,35+_TO_40,2,2,2
5,2001,45+_TO_50,5,5,4
5,2001,4O+_TO_45,26,26,13
5,2002,30+_TO_35,1,1,1
5,2002,35+_TO_40,1,1,1
5,2002,45+_TO_50,2,2,1
5,2002,4O+_TO_45,10,10,5
5,2003,30+_TO_35,1,1,1
5,2003,35+_TO_40,5,5,5
5,2003,45+_TO_50,4,4,2
5,2003,4O+_TO_45,13,13,11
5,2004,25+_TO_30,1,1,1
5,2004,30+_TO_35,1,1,1
5,2004,35+_TO_40,5,5,5
5,2004,45+_TO_50,1,1,1
5,2004,4O+_TO_45,13,13,9
5,2005,35+_TO_40,1,1,1
5,2005,45+_TO_50,1,1,1
5,2005,4O+_TO_45,17,17,11
5,2006,25+_TO_30,1,1,1
5,2006,30+_TO_35,1,1,1
5,2006,35+_TO_40,3,3,2
5,2006,45+_TO_50,12,12,7
5,2006,4O+_TO_45,69,69,18
5,2007,35+_TO_40,4,4,4
5,2007,45+_TO_50,17,17,13
5,2007,4O+_TO_45,46,46,18
5,2007,5O+_OR_GREATER,1,1,1
5,2008,30+_TO_35,1,1,1
5,2008,35+_TO_40,15,15,12
5,2008,45+_TO_50,2,2,2
5,2008,4O+_TO_45,32,32,19
5,2009,25+_TO_30,1,1,1
5,2009,30+_TO_35,4,4,4
5,2009,35+_TO_40,6,6,6
5,2009,45+_TO_50,4,4,4
5,2009,4O+_TO_45,44,44,21
5,2010,25+_TO_30,3,3,3
5,2010,30+_TO_35,6,6,5
5,2010,35+_TO_40,17,17,13
5,2010,45+_TO_50,25,25,10
5,2010,4O+_TO_45,82,82,24
5,2011,30+_TO_35,1,1,1
5,2011,35+_TO_40,12,12,11
5,2011,45+_TO_50,2,2,2
5,2011,4O+_TO_45,49,49,24
5,2012,25+_TO_30,1,1,1
5,2012,35+_TO_40,12,12,9
5,2012,45+_TO_50,26,26,16
5,2012,4O+_TO_45,129,129,27
5,2013,25+_TO_30,5,5,5
5,2013,30+_TO_35,3,3,2
5,2013,35+_TO_40,10,10,8
5,2013,45+_TO_50,1,1,1
5,2013,4O+_TO_45,22,22,14
5,2014,25+_TO_30,1,1,1
5,2014,30+_TO_35,4,4,4
5,2014,35+_TO_40,30,30,17
5,2014,45+_TO_50,9,9,5
5,2014,4O+_TO_45,82,82,15
5,2015,25+_TO_30,3,3,3
5,2015,30+_TO_35,8,8,7
5,2015,35+_TO_40,25,25,17
5,2015,45+_TO_50,6,6,5
5,2015,4O+_TO_45,60,60,19
5,2016,25+_TO_30,2,8,2
5,2016,30+_TO_35,6,81,6
5,2016,35+_TO_40,25,181,15
5,2016,45+_TO_50,11,58,4
5,2016,4O+_TO_45,73,445,15
5,2017,25+_TO_30,1,1,1
5,2017,30+_TO_35,4,17,4
5,2017,35+_TO_40,27,174,18
5,2017,45+_TO_50,15,130,10
5,2017,4O+_TO_45,156,1051,24
5,2018,25+_TO_30,3,23,2
5,2018,30+_TO_35,4,35,3
5,2018,35+_TO_40,71,727,27
5,2018,45+_TO_50,28,508,12
5,2018,4O+_TO_45,244,2265,26
5,2019,30+_TO_35,7,59,7
5,2019,35+_TO_40,70,535,27
5,2019,45+_TO_50,14,171,6
5,2019,4O+_TO_45,274,2554,21
5,2020,30+_TO_35,11,106,8
5,2020,35+_TO_40,68,634,28
5,2020,45+_TO_50,16,89,5
5,2020,4O+_TO_45,198,1541,18
6,1997,4O+_TO_45,1,1,1
6,1998,4O+_TO_45,2,2,2
6,2000,4O+_TO_45,1,1,1
6,2001,35+_TO_40,1,1,1
6,2001,45+_TO_50,4,4,3
6,2001,4O+_TO_45,6,6,5
6,2002,25+_TO_30,2,2,2
6,2002,45+_TO_50,2,2,2
6,2002,4O+_TO_45,15,15,10
6,2003,35+_TO_40,2,2,2
6,2003,45+_TO_50,4,4,4
6,2003,4O+_TO_45,10,10,10
6,2004,45+_TO_50,7,7,6
6,2004,4O+_TO_45,20,20,14
6,2005,35+_TO_40,7,7,7
6,2005,45+_TO_50,10,10,8
6,2005,4O+_TO_45,26,26,17
6,2006,35+_TO_40,1,1,1
6,2006,45+_TO_50,4,4,3
6,2006,4O+_TO_45,4,4,3
6,2007,35+_TO_40,4,4,4
6,2007,45+_TO_50,8,8,5
6,2007,4O+_TO_45,14,14,13
6,2007,5O+_OR_GREATER,2,2,1
6,2008,35+_TO_40,3,3,3
6,2008,45+_TO_50,12,12,8
6,2008,4O+_TO_45,51,51,16
6,2009,30+_TO_35,1,1,1
6,2009,35+_TO_40,3,3,3
6,2009,45+_TO_50,18,18,14
6,2009,4O+_TO_45,37,37,18
6,2009,5O+_OR_GREATER,1,1,1
6,2010,25+_TO_30,2,2,2
6,2010,30+_TO_35,1,1,1
6,2010,35+_TO_40,9,9,7
6,2010,45+_TO_50,9,9,6
6,2010,4O+_TO_45,22,22,13
6,2011,30+_TO_35,1,1,1
6,2011,35+_TO_40,3,3,3
6,2011,45+_TO_50,19,19,14
6,2011,4O+_TO_45,49,49,21
6,2012,25+_TO_30,1,1,1
6,2012,30+_TO_35,1,1,1
6,2012,45+_TO_50,1,1,1
6,2012,4O+_TO_45,7,7,7
6,2012,5O+_OR_GREATER,1,1,1
6,2013,25+_TO_30,1,1,1
6,2013,30+_TO_35,1,1,1
6,2013,35+_TO_40,10,10,8
