month,year,lat_range,adult_sight_dates,adult_sight_number,adult_sight_distinct_dates
3,2009,25+_TO_30,2,2,2
3,2009,30+_TO_35,1,1,1
3,2009,35+_TO_40,1,1,1
3,2009,4O+_TO_45,1,2,1
3,2010,25+_TO_30,1,1,1
3,2010,30+_TO_35,1,1,1
3,2011,25+_TO_30,2,2,2
3,2011,30+_TO_35,2,2,2
3,2011,35+_TO_40,5,5,4
3,2012,25+_TO_30,8,8,7
3,2012,30+_TO_35,3,4,3
3,2013,25+_TO_30,2,2,1
3,2013,35+_TO_40,1,1,1
3,2014,25+_TO_30,1,1,1
3,2015,20_OR_LESS,1,1,1
3,2015,25+_TO_30,7,7,6
3,2015,30+_TO_35,4,4,4
3,2015,4O+_TO_45,2,6,1
3,2016,20+_TO_25,2,5,2
3,2016,20_OR_LESS,1,1,1
3,2016,25+_TO_30,62,132,28
3,2016,30+_TO_35,54,83,23
3,2016,35+_TO_40,5,13,5
3,2017,20+_TO_25,3,26,3
3,2017,20_OR_LESS,1,5,1
3,2017,25+_TO_30,40,71,19
3,2017,30+_TO_35,76,138,26
3,2017,35+_TO_40,9,9,7
3,2018,20+_TO_25,28,19122,12
3,2018,20_OR_LESS,4,19122,3
3,2018,25+_TO_30,123,347,31
3,2018,30+_TO_35,145,530,25
3,2018,35+_TO_40,4,6,4
3,2019,20+_TO_25,12,441,8
3,2019,20_OR_LESS,2,2,2
3,2019,25+_TO_30,159,522,30
3,2019,30+_TO_35,238,951,29
3,2019,35+_TO_40,6,7,6
3,2019,4O+_TO_45,1,1,1
3,2020,20_OR_LESS,7,7,5
3,2020,25+_TO_30,174,330,30
3,2020,30+_TO_35,316,1782,31
3,2020,35+_TO_40,12,14,8
4,1997,25+_TO_30,1,1,1
4,1997,30+_TO_35,19,27,11
4,1997,35+_TO_40,76,77,24
4,1997,4O+_TO_45,16,16,9
4,2002,30+_TO_35,2,2,1
4,2003,30+_TO_35,1,1,1
4,2003,4O+_TO_45,1,1,1
4,2011,20_OR_LESS,1,1,1
4,2011,30+_TO_35,2,4,2
4,2014,25+_TO_30,1,1,1
4,2014,4O+_TO_45,2,7,1
4,2016,20+_TO_25,6,16,5
4,2016,20_OR_LESS,1,7,1
4,2016,25+_TO_30,52,110,24
4,2016,30+_TO_35,118,252,28
4,2016,35+_TO_40,9,14,7
4,2016,4O+_TO_45,1,1,1
4,2017,25+_TO_30,127,284,30
4,2017,30+_TO_35,182,397,30
4,2017,35+_TO_40,239,2628,27
4,2017,4O+_TO_45,17,36,13
4,2018,20+_TO_25,2,2,1
4,2018,25+_TO_30,55,85,24
4,2018,30+_TO_35,267,907,30
4,2018,35+_TO_40,55,71,19
4,2018,4O+_TO_45,1,1,1
4,2019,20+_TO_25,1,2,1
4,2019,20_OR_LESS,1,1,1
4,2019,25+_TO_30,80,216,29
4,2019,30+_TO_35,162,711,30
4,2019,35+_TO_40,99,116,28
4,2019,4O+_TO_45,3,3,3
4,2020,20_OR_LESS,2,2,2
4,2020,25+_TO_30,88,286,30
4,2020,30+_TO_35,188,396,29
4,2020,35+_TO_40,132,199,28
5,1997,30+_TO_35,1,1,1
5,1997,35+_TO_40,28,28,13
5,1997,45+_TO_50,6,6,4
5,1997,4O+_TO_45,62,62,25
5,2010,35+_TO_40,2,2,2
5,2010,45+_TO_50,1,1,1
5,2010,4O+_TO_45,1,1,1
5,2011,30+_TO_35,1,1,1
5,2012,30+_TO_35,1,5,1
5,2012,4O+_TO_45,1,1,1
5,2013,30+_TO_35,3,17,3
5,2013,35+_TO_40,3,5,3
5,2013,4O+_TO_45,1,1,1
5,2014,30+_TO_35,1,2,1
5,2014,35+_TO_40,3,9,3
5,2014,4O+_TO_45,4,4,4
5,2015,25+_TO_30,1,1,1
5,2015,30+_TO_35,1,24,1
5,2015,35+_TO_40,1,1,1
5,2015,45+_TO_50,1,4,1
5,2015,4O+_TO_45,2,3,2
5,2016,20+_TO_25,1,6,1
5,2016,20_OR_LESS,2,3,1
5,2016,25+_TO_30,33,61,23
5,2016,30+_TO_35,72,111,26
5,2016,35+_TO_40,46,66,18
5,2016,45+_TO_50,3,4,3
5,2016,4O+_TO_45,30,38,13
5,2017,25+_TO_30,49,81,25
5,2017,30+_TO_35,70,193,31
5,2017,35+_TO_40,73,164,28
5,2017,45+_TO_50,5,5,3
5,2017,4O+_TO_45,66,82,20
5,2018,20+_TO_25,1,2,1
5,2018,25+_TO_30,26,36,20
5,2018,30+_TO_35,135,247,30
5,2018,35+_TO_40,91,161,28
5,2018,45+_TO_50,17,25,8
5,2018,4O+_TO_45,128,179,23
5,2019,20+_TO_25,2,4,2
5,2019,25+_TO_30,41,97,24
5,2019,30+_TO_35,93,339,30
5,2019,35+_TO_40,112,172,30
5,2019,45+_TO_50,10,19,5
5,2019,4O+_TO_45,189,282,18
5,2020,20+_TO_25,1,2,1
5,2020,25+_TO_30,23,41,16
5,2020,30+_TO_35,136,229,31
5,2020,35+_TO_40,119,179,26
5,2020,45+_TO_50,16,20,6
5,2020,4O+_TO_45,94,132,18
6,1996,4O+_TO_45,1,1,1
6,1997,35+_TO_40,2,2,2
6,1997,45+_TO_50,18,18,13
6,1997,4O+_TO_45,34,34,18
6,1997,5O+_OR_GREATER,5,5,3
6,2009,4O+_TO_45,1,1,1
6,2010,35+_TO_40,1,1,1
6,2012,45+_TO_50,2,4,2
6,2012,4O+_TO_45,1,1,1
6,2013,35+_TO_40,1,1,1
6,2013,45+_TO_50,1,4,1
6,2013,4O+_TO_45,3,3,3
6,2014,30+_TO_35,1,1,1
6,2014,35+_TO_40,12,15,9
6,2014,45+_TO_50,9,14,8
6,2014,4O+_TO_45,32,39,14
6,2015,25+_TO_30,1,1,1
6,2015,35+_TO_40,3,8,3
6,2015,45+_TO_50,3,4,3
6,2015,4O+_TO_45,13,39,12
6,2016,20+_TO_25,2,6,2
6,2016,25+_TO_30,27,69,16
6,2016,30+_TO_35,41,79,20
6,2016,35+_TO_40,66,169,25
6,2016,45+_TO_50,38,51,21
6,2016,4O+_TO_45,126,177,30
6,2017,20+_TO_25,3,3,3
6,2017,25+_TO_30,25,38,19
6,2017,30+_TO_35,33,55,23
6,2017,35+_TO_40,132,174,30
6,2017,45+_TO_50,94,134,29
6,2017,4O+_TO_45,306,452,30
6,2018,25+_TO_30,12,15,9
6,2018,30+_TO_35,50,79,26
6,2018,35+_TO_40,138,291,29
6,2018,45+_TO_50,54,96,24
6,2018,4O+_TO_45,272,487,30
6,2018,5O+_OR_GREATER,3,10,3
6,2019,20+_TO_25,1,2,1
6,2019,25+_TO_30,11,17,8
6,2019,30+_TO_35,40,77,17
6,2019,35+_TO_40,176,251,30
6,2019,45+_TO_50,90,190,24
6,2019,4O+_TO_45,284,559,30
6,2019,5O+_OR_GREATER,1,12,1
6,2020,25+_TO_30,15,26,12
6,2020,30+_TO_35,79,145,29
6,2020,35+_TO_40,120,178,29
6,2020,45+_TO_50,70,120,26
6,2020,4O+_TO_45,239,374,30
6,2020,5O+_OR_GREATER,7,14,5
7,1997,45+_TO_50,5,5,5
7,1997,4O+_TO_45,2,2,2
7,2002,45+_TO_50,1,1,1
7,2009,35+_TO_40,2,4,1
7,2009,4O+_TO_45,1,1,1
7,2010,35+_TO_40,3,3,2
7,2010,4O+_TO_45,3,3,3
7,2011,35+_TO_40,1,1,1
7,2011,4O+_TO_45,6,8,5
7,2012,30+_TO_35,4,4,4
7,2012,35+_TO_40,2,16,2
7,2012,4O+_TO_45,2,3,2
7,2013,20_OR_LESS,1,1,1
7,2013,25+_TO_30,1,1,1
7,2013,30+_TO_35,5,5,2
7,2013,35+_TO_40,9,11,7
7,2013,45+_TO_50,2,3,2
7,2013,4O+_TO_45,17,23,11
7,2014,25+_TO_30,11,29,11
7,2014,30+_TO_35,53,203,26
7,2014,35+_TO_40,159,267,31
7,2014,45+_TO_50,78,153,26
7,2014,4O+_TO_45,536,876,31
7,2014,5O+_OR_GREATER,2,2,2
7,2015,20_OR_LESS,2,3,2
7,2015,25+_TO_30,13,29,10
7,2015,30+_TO_35,27,49,14
7,2015,35+_TO_40,80,114,26
7,2015,45+_TO_50,40,93,20
7,2015,4O+_TO_45,272,692,31
7,2016,25+_TO_30,18,30,12
7,2016,30+_TO_35,60,98,26
7,2016,35+_TO_40,203,455,30
7,2016,45+_TO_50,89,182,28
7,2016,4O+_TO_45,555,871,31
7,2016,5O+_OR_GREATER,6,6,4
7,2017,25+_TO_30,43,90,29
7,2017,30+_TO_35,28,124,19
7,2017,35+_TO_40,248,417,31
7,2017,45+_TO_50,172,350,31
7,2017,4O+_TO_45,795,1638,31
7,2018,25+_TO_30,17,24,14
7,2018,30+_TO_35,37,53,20
7,2018,35+_TO_40,363,602,31
7,2018,45+_TO_50,217,1397,31
7,2018,4O+_TO_45,734,2128,31
7,2018,5O+_OR_GREATER,7,16,7
7,2019,25+_TO_30,28,46,19
7,2019,30+_TO_35,29,46,17
7,2019,35+_TO_40,313,530,31
7,2019,45+_TO_50,147,472,28
7,2019,4O+_TO_45,736,2107,31
7,2019,5O+_OR_GREATER,2,3,2
7,2020,20+_TO_25,1,1,1
7,2020,20_OR_LESS,1,1,1
7,2020,25+_TO_30,7,24,6
7,2020,30+_TO_35,68,128,26
7,2020,35+_TO_40,276,420,31
7,2020,45+_TO_50,135,409,31
7,2020,4O+_TO_45,804,2395,31
7,2020,5O+_OR_GREATER,2,2,2
8,1997,30+_TO_35,2,2,2
8,1997,35+_TO_40,9,9,7
8,1997,45+_TO_50,2,2,2
8,1997,4O+_TO_45,14,14,14
8,1998,25+_TO_30,3,3,3
8,1998,30+_TO_35,6,6,5
8,1998,35+_TO_40,6,6,6
8,1998,45+_TO_50,2,2,2
8,1998,4O+_TO_45,7,7,5
8,2000,4O+_TO_45,1,1,1
8,2004,4O+_TO_45,1,1,1
8,2007,35+_TO_40,1,2,1
8,2008,4O+_TO_45,1,4,1
8,2009,25+_TO_30,1,1,1
8,2009,30+_TO_35,2,2,2
8,2009,35+_TO_40,2,2,2
8,2009,4O+_TO_45,14,14,8
8,2010,20+_TO_25,3,3,3
8,2010,20_OR_LESS,1,1,1
8,2010,25+_TO_30,22,22,16
8,2010,30+_TO_35,84,84,26
8,2010,35+_TO_40,220,220,28
8,2010,45+_TO_50,46,46,20
8,2010,4O+_TO_45,352,533,29
8,2010,5O+_OR_GREATER,3,3,3
8,2011,25+_TO_30,31,126,16
8,2011,30+_TO_35,103,357,21
8,2011,35+_TO_40,184,1253,29
8,2011,45+_TO_50,45,245,24
8,2011,4O+_TO_45,243,711,30
8,2011,5O+_OR_GREATER,1,1,1
8,2012,25+_TO_30,41,127,19
8,2012,30+_TO_35,116,293,26
8,2012,35+_TO_40,204,511,31
8,2012,45+_TO_50,38,154,20
8,2012,4O+_TO_45,407,2704,26
8,2012,5O+_OR_GREATER,15,33,14
8,2013,20+_TO_25,3,3,3
8,2013,25+_TO_30,39,70,22
8,2013,30+_TO_35,120,1294,30
8,2013,35+_TO_40,302,562,29
8,2013,45+_TO_50,55,163,26
8,2013,4O+_TO_45,526,1006,31
8,2014,20+_TO_25,1,10,1
8,2014,25+_TO_30,33,64,18
8,2014,30+_TO_35,115,282,30
8,2014,35+_TO_40,443,759,31
8,2014,45+_TO_50,83,355,26
8,2014,4O+_TO_45,617,1734,31
8,2015,20+_TO_25,1,3,1
8,2015,25+_TO_30,23,54,14
8,2015,30+_TO_35,202,376,31
8,2015,35+_TO_40,742,1781,31
8,2015,45+_TO_50,141,508,30
8,2015,4O+_TO_45,1068,3364,31
8,2015,5O+_OR_GREATER,2,4,1
8,2016,25+_TO_30,33,46,16
8,2016,30+_TO_35,156,445,30
8,2016,35+_TO_40,968,1938,31
8,2016,45+_TO_50,208,435,31
8,2016,4O+_TO_45,1477,3453,31
8,2017,20+_TO_25,1,2,1
8,2017,20_OR_LESS,1,1,1
8,2017,25+_TO_30,43,123,27
8,2017,30+_TO_35,186,346,31
8,2017,35+_TO_40,895,1918,31
8,2017,45+_TO_50,300,977,31
8,2017,4O+_TO_45,1413,4942,31
8,2017,5O+_OR_GREATER,5,7,5
8,2018,25+_TO_30,51,137,26
8,2018,30+_TO_35,227,512,30
8,2018,35+_TO_40,1250,3352,31
8,2018,45+_TO_50,308,1275,31
8,2018,4O+_TO_45,1302,6963,31
8,2018,5O+_OR_GREATER,4,7,4
8,2019,20+_TO_25,2,6,2
8,2019,20_OR_LESS,1,1,1
8,2019,25+_TO_30,22,32,11
8,2019,30+_TO_35,195,426,31
8,2019,35+_TO_40,1007,2229,31
8,2019,45+_TO_50,257,2890,31
8,2019,4O+_TO_45,1316,7161,31
8,2019,5O+_OR_GREATER,1,1,1
8,2020,20+_TO_25,2,5,2
8,2020,20_OR_LESS,2,2,2
8,2020,25+_TO_30,45,103,23
8,2020,30+_TO_35,277,473,31
8,2020,35+_TO_40,1452,2926,31
8,2020,45+_TO_50,242,1064,31
8,2020,4O+_TO_45,1355,4507,31
8,2020,5O+_OR_GREATER,6,8,6
9,1996,4O+_TO_45,2,2,1
9,1997,25+_TO_30,7,7,6
9,1997,30+_TO_35,20,20,13
9,1997,35+_TO_40,30,30,22
9,1997,45+_TO_50,6,6,5
9,1997,4O+_TO_45,72,72,29
9,1998,25+_TO_30,16,16,12
9,1998,30+_TO_35,32,32,18
9,1998,35+_TO_40,53,53,21
9,1998,45+_TO_50,2,2,2
9,1998,4O+_TO_45,155,155,29
9,1999,45+_TO_50,1,1,1
9,1999,4O+_TO_45,5,5,4
9,2000,35+_TO_40,3,3,2
9,2000,4O+_TO_45,4,4,4
9,2007,4O+_TO_45,1,1,1
9,2009,30+_TO_35,2,2,2
9,2009,35+_TO_40,1,1,1
9,2009,45+_TO_50,1,1,1
9,2009,4O+_TO_45,19,19,12
9,2010,20+_TO_25,1,1,1
9,2010,25+_TO_30,68,68,27
9,2010,30+_TO_35,191,192,30
9,2010,35+_TO_40,402,402,30
9,2010,45+_TO_50,59,59,25
9,2010,4O+_TO_45,723,796,30
9,2010,5O+_OR_GREATER,1,1,1
9,2011,20+_TO_25,3,3,3
9,2011,25+_TO_30,140,240,30
9,2011,30+_TO_35,336,1237,30
9,2011,35+_TO_40,347,1200,30
9,2011,45+_TO_50,62,179,27
9,2011,4O+_TO_45,848,4803,30
9,2012,20+_TO_25,2,38,2
9,2012,25+_TO_30,84,233,27
9,2012,30+_TO_35,279,1021,30
9,2012,35+_TO_40,383,1714,30
9,2012,45+_TO_50,33,48,18
9,2012,4O+_TO_45,639,2958,30
9,2012,5O+_OR_GREATER,4,4,4
9,2013,20+_TO_25,1,20,1
9,2013,25+_TO_30,73,176,23
9,2013,30+_TO_35,241,907,30
9,2013,35+_TO_40,480,1284,30
9,2013,45+_TO_50,59,97,23
9,2013,4O+_TO_45,801,2119,30
9,2013,5O+_OR_GREATER,1,1,1
9,2014,20+_TO_25,3,9,3
9,2014,25+_TO_30,66,152,24
9,2014,30+_TO_35,246,526,30
9,2014,35+_TO_40,523,1447,30
9,2014,45+_TO_50,166,474,28
9,2014,4O+_TO_45,1198,4294,30
9,2015,20+_TO_25,2,2,1
9,2015,20_OR_LESS,1,1,1
9,2015,25+_TO_30,88,213,27
9,2015,30+_TO_35,320,1065,30
9,2015,35+_TO_40,972,4514,30
9,2015,45+_TO_50,264,722,30
9,2015,4O+_TO_45,1940,8344,30
9,2015,5O+_OR_GREATER,1,1,1
9,2016,20+_TO_25,2,7,2
9,2016,20_OR_LESS,1,2,1
9,2016,25+_TO_30,99,222,27
9,2016,30+_TO_35,563,1659,30
9,2016,35+_TO_40,1308,4432,30
9,2016,45+_TO_50,256,539,29
9,2016,4O+_TO_45,2363,6548,30
9,2017,20+_TO_25,9,23,5
9,2017,20_OR_LESS,1,1,1
9,2017,25+_TO_30,82,267,28
9,2017,30+_TO_35,411,1044,30
9,2017,35+_TO_40,1035,2691,30
9,2017,45+_TO_50,275,698,29
9,2017,4O+_TO_45,2017,7935,30
9,2017,5O+_OR_GREATER,3,4,3
9,2018,20+_TO_25,1,2,1
9,2018,20_OR_LESS,1,1,1
9,2018,25+_TO_30,77,258,30
9,2018,30+_TO_35,376,1265,30
9,2018,35+_TO_40,1415,15125,30
9,2018,45+_TO_50,262,748,29
9,2018,4O+_TO_45,2096,10612,30
9,2018,5O+_OR_GREATER,3,3,3
9,2019,20+_TO_25,3,7,3
9,2019,20_OR_LESS,1,1,1
9,2019,25+_TO_30,39,80,21
9,2019,30+_TO_35,218,652,30
9,2019,35+_TO_40,1083,5174,30
9,2019,45+_TO_50,304,1721,30
9,2019,4O+_TO_45,2515,42795,30
9,2020,20+_TO_25,4,14,4
9,2020,20_OR_LESS,2,2,2
9,2020,25+_TO_30,62,132,23
9,2020,30+_TO_35,441,2230,30
9,2020,35+_TO_40,1256,4700,30
9,2020,45+_TO_50,176,501,27
9,2020,4O+_TO_45,1407,9936,30
9,2020,5O+_OR_GREATER,3,4,3
10,1997,25+_TO_30,12,12,12
10,1997,30+_TO_35,52,52,26
10,1997,35+_TO_40,38,38,18
10,1997,45+_TO_50,7,7,7
10,1997,4O+_TO_45,52,52,22
10,1998,20_OR_LESS,2,2,2
10,1998,25+_TO_30,40,40,20
10,1998,30+_TO_35,75,75,24
10,1998,35+_TO_40,35,35,13
10,1998,45+_TO_50,2,2,2
10,1998,4O+_TO_45,28,28,16
10,1999,30+_TO_35,6,6,6
10,1999,35+_TO_40,11,11,8
10,1999,4O+_TO_45,29,29,15
10,2000,35+_TO_40,4,4,3
