month,year,lat_range,adult_sight_dates,adult_sight_number,adult_sight_distinct_dates
11,2000,4O+_TO_45,4,4,2
11,2006,35+_TO_40,1,1,1
11,2008,35+_TO_40,1,1,1
11,2008,4O+_TO_45,3,11,1
11,2009,25+_TO_30,4,4,4
11,2009,35+_TO_40,2,2,1
11,2010,20+_TO_25,3,3,3
11,2010,20_OR_LESS,1,1,1
11,2010,25+_TO_30,41,43,22
11,2010,30+_TO_35,62,62,22
11,2010,35+_TO_40,11,11,8
11,2010,4O+_TO_45,14,14,11
11,2011,20+_TO_25,1,1,1
11,2011,20_OR_LESS,1,1,1
11,2011,25+_TO_30,100,427,29
11,2011,30+_TO_35,82,5358,25
11,2011,35+_TO_40,52,84,16
11,2011,45+_TO_50,1,1,1
11,2011,4O+_TO_45,52,165,11
11,2012,25+_TO_30,47,159,18
11,2012,30+_TO_35,78,257,26
11,2012,35+_TO_40,8,12,6
11,2012,4O+_TO_45,3,9,3
11,2013,20+_TO_25,2,17,2
11,2013,25+_TO_30,40,149,19
11,2013,30+_TO_35,62,227,26
11,2013,35+_TO_40,26,35,9
11,2013,4O+_TO_45,3,3,3
11,2014,25+_TO_30,62,1007,25
11,2014,30+_TO_35,63,358,19
11,2014,35+_TO_40,22,30,10
11,2014,4O+_TO_45,11,13,7
11,2015,20+_TO_25,4,12,4
11,2015,20_OR_LESS,2,35,2
11,2015,25+_TO_30,109,10678,25
11,2015,30+_TO_35,144,423,26
11,2015,35+_TO_40,98,180,21
11,2015,4O+_TO_45,83,102,14
11,2016,20+_TO_25,7,137,5
11,2016,20_OR_LESS,1,1,1
11,2016,25+_TO_30,86,840,25
11,2016,30+_TO_35,305,1652,29
11,2016,35+_TO_40,162,310,25
11,2016,45+_TO_50,6,8,6
11,2016,4O+_TO_45,113,166,15
11,2017,20+_TO_25,6,30,6
11,2017,20_OR_LESS,2,6,2
11,2017,25+_TO_30,99,316,29
11,2017,30+_TO_35,229,1978,27
11,2017,35+_TO_40,104,313,24
11,2017,45+_TO_50,1,1,1
11,2017,4O+_TO_45,94,186,14
11,2018,20+_TO_25,5,35,4
11,2018,20_OR_LESS,2,5,2
11,2018,25+_TO_30,89,645,27
11,2018,30+_TO_35,279,1495,28
11,2018,35+_TO_40,73,178,13
11,2018,45+_TO_50,1,24,1
11,2018,4O+_TO_45,19,22,8
11,2019,20+_TO_25,2,3,2
11,2019,20_OR_LESS,2,2,2
11,2019,25+_TO_30,88,412,28
11,2019,30+_TO_35,124,502,27
11,2019,35+_TO_40,44,109,15
11,2019,45+_TO_50,1,1,1
11,2019,4O+_TO_45,11,13,6
11,2020,20_OR_LESS,4,4,3
11,2020,25+_TO_30,92,529,27
11,2020,30+_TO_35,207,509,29
11,2020,35+_TO_40,144,291,23
11,2020,4O+_TO_45,53,121,14
12,1996,25+_TO_30,1,1,1
12,1996,30+_TO_35,1,1,1
12,1997,25+_TO_30,1,1,1
12,1997,30+_TO_35,1,1,1
12,1997,35+_TO_40,1,1,1
12,1998,25+_TO_30,5,5,5
12,1998,4O+_TO_45,1,1,1
12,2000,25+_TO_30,1,1,1
12,2001,25+_TO_30,2,2,2
12,2008,20_OR_LESS,1,1,1
12,2008,25+_TO_30,1,1,1
12,2009,20_OR_LESS,1,1,1
12,2009,35+_TO_40,6,6,3
12,2010,20_OR_LESS,2,2,1
12,2010,25+_TO_30,9,9,6
12,2010,30+_TO_35,7,7,5
12,2010,35+_TO_40,4,4,3
12,2011,20_OR_LESS,1,1,1
12,2011,25+_TO_30,27,1629,18
12,2011,30+_TO_35,11,25,9
12,2011,35+_TO_40,4,1475,3
12,2012,20_OR_LESS,2,2,2
12,2012,25+_TO_30,10,22,7
12,2012,30+_TO_35,13,56,8
12,2012,35+_TO_40,4,7502,2
12,2013,20_OR_LESS,2,2,2
12,2013,25+_TO_30,11,14,10
12,2013,30+_TO_35,15,29,10
12,2013,35+_TO_40,1,1,1
12,2014,20+_TO_25,2,18,2
12,2014,20_OR_LESS,1,1,1
12,2014,25+_TO_30,25,73,18
12,2014,30+_TO_35,19,107,14
12,2014,35+_TO_40,2,2,2
12,2015,20+_TO_25,1,1,1
12,2015,20_OR_LESS,1,1,1
12,2015,25+_TO_30,25,40,16
12,2015,30+_TO_35,30,46,19
12,2015,35+_TO_40,10,20011,6
12,2016,20+_TO_25,1,2,1
12,2016,20_OR_LESS,2,2,1
12,2016,25+_TO_30,31,84,18
12,2016,30+_TO_35,41,172,21
12,2016,35+_TO_40,2,7,1
12,2017,20+_TO_25,3,22,2
12,2017,20_OR_LESS,2,3,2
12,2017,25+_TO_30,36,69,18
12,2017,30+_TO_35,49,376,28
12,2017,35+_TO_40,17,23,14
12,2018,20+_TO_25,1,10,1
12,2018,25+_TO_30,21,54,11
12,2018,30+_TO_35,25,43,15
12,2018,35+_TO_40,1,1,1
12,2018,4O+_TO_45,1,2,1
12,2019,20_OR_LESS,1,1,1
12,2019,25+_TO_30,45,84,23
12,2019,30+_TO_35,25,60,18
12,2019,35+_TO_40,2,4,2
12,2020,20_OR_LESS,1,1,1
12,2020,25+_TO_30,206,372,30
12,2020,30+_TO_35,116,164,26
12,2020,35+_TO_40,7,9,6
