month,year,lat_range,fall_roost_dates,fall_roost_number,fall_roost_distinct_dates
10,2011,20+_TO_25,3,102,2
10,2011,20_OR_LESS,1,1,1
10,2011,25+_TO_30,21,21054,13
10,2011,30+_TO_35,41,32756,21
10,2011,35+_TO_40,13,9283,11
10,2011,4O+_TO_45,8,2326,7
10,2012,20+_TO_25,1,2000,1
10,2012,20_OR_LESS,1,300,1
10,2012,25+_TO_30,13,7311,9
10,2012,30+_TO_35,12,1551,9
10,2012,35+_TO_40,4,6095,4
10,2012,4O+_TO_45,1,8,1
10,2013,20+_TO_25,6,5419,5
10,2013,25+_TO_30,13,1795,9
10,2013,30+_TO_35,34,3278,17
10,2013,35+_TO_40,10,3255,6
10,2013,4O+_TO_45,9,2422,8
10,2014,25+_TO_30,25,9885,13
10,2014,30+_TO_35,67,25897,24
10,2014,35+_TO_40,18,7391,12
10,2014,4O+_TO_45,3,228,2
10,2015,20+_TO_25,8,10792,6
10,2015,25+_TO_30,38,23360,17
10,2015,30+_TO_35,102,64624,27
10,2015,35+_TO_40,29,41375,15
10,2015,4O+_TO_45,8,2464,8
10,2016,20+_TO_25,2,886,1
10,2016,25+_TO_30,17,79459,11
10,2016,30+_TO_35,50,30864,18
10,2016,35+_TO_40,13,4232,10
10,2016,4O+_TO_45,6,1547,4
10,2017,20+_TO_25,5,1740,3
10,2017,20_OR_LESS,1,5000,1
10,2017,25+_TO_30,47,23477,18
10,2017,30+_TO_35,32,4466,19
10,2017,35+_TO_40,15,7487,12
10,2017,4O+_TO_45,33,13563,22
10,2018,20+_TO_25,3,1250,2
10,2018,25+_TO_30,20,8225,10
10,2018,30+_TO_35,47,17923,15
10,2018,35+_TO_40,60,16323,15
10,2018,4O+_TO_45,20,3452,12
10,2019,20+_TO_25,4,3101,4
10,2019,25+_TO_30,22,9559,14
10,2019,30+_TO_35,23,5335,14
10,2019,35+_TO_40,23,2887,9
10,2019,4O+_TO_45,15,2464,10
10,2020,20+_TO_25,2,2050,2
10,2020,20_OR_LESS,1,1000,1
10,2020,25+_TO_30,41,11376,22
10,2020,30+_TO_35,48,185069,12
10,2020,35+_TO_40,5,7530,5
10,2020,4O+_TO_45,9,1239,8
11,2002,25+_TO_30,1,1,1
11,2002,30+_TO_35,1,1,1
11,2003,25+_TO_30,1,5,1
11,2004,30+_TO_35,2,2,2
11,2005,25+_TO_30,1,1,1
11,2006,20+_TO_25,3,3,3
11,2006,25+_TO_30,1,1,1
11,2008,20+_TO_25,2,2001,2
11,2008,25+_TO_30,1,1,1
11,2008,30+_TO_35,1,2000,1
11,2009,20+_TO_25,1,200,1
11,2009,20_OR_LESS,2,200000,1
11,2009,25+_TO_30,1,1000,1
11,2009,30+_TO_35,1,100,1
11,2009,35+_TO_40,1,200,1
11,2010,20+_TO_25,2,2200,2
11,2010,25+_TO_30,5,1203,4
11,2010,30+_TO_35,4,598,3
11,2011,25+_TO_30,2,115,2
11,2011,30+_TO_35,3,2300,3
11,2011,35+_TO_40,2,8001,1
11,2012,20+_TO_25,1,5,1
11,2012,25+_TO_30,1,25,1
11,2012,30+_TO_35,1,1000,1
11,2012,35+_TO_40,1,13460,1
11,2013,20_OR_LESS,1,50,1
11,2013,25+_TO_30,1,117,1
11,2013,30+_TO_35,3,9000,1
11,2013,35+_TO_40,4,44000,2
11,2014,20+_TO_25,1,3000,1
11,2014,20_OR_LESS,1,1000,1
11,2014,25+_TO_30,5,2610,4
11,2014,30+_TO_35,3,420,3
11,2015,20+_TO_25,11,1005313,6
11,2015,20_OR_LESS,3,2800,3
11,2015,25+_TO_30,4,61,4
11,2015,30+_TO_35,5,882,5
11,2015,35+_TO_40,7,63570,6
11,2016,20+_TO_25,12,162770,7
11,2016,20_OR_LESS,2,2,2
11,2016,25+_TO_30,3,1097,3
11,2016,30+_TO_35,4,190,4
11,2016,35+_TO_40,1,1,1
11,2017,20+_TO_25,2,1050,2
11,2017,25+_TO_30,1,18,1
11,2017,30+_TO_35,3,4010,3
11,2018,20+_TO_25,4,2950,2
11,2018,20_OR_LESS,2,10001,2
11,2018,25+_TO_30,8,2552,6
11,2018,30+_TO_35,1,100,1
11,2018,35+_TO_40,6,1183,6
11,2019,20+_TO_25,3,5000,2
11,2019,20_OR_LESS,1,25,1
11,2019,25+_TO_30,3,210,3
11,2019,30+_TO_35,2,35,2
11,2020,20+_TO_25,1,50,1
12,2006,20_OR_LESS,1,1,1
12,2006,30+_TO_35,1,1,1
12,2007,20_OR_LESS,1,1000000,1
12,2012,35+_TO_40,2,7500,2
12,2013,30+_TO_35,1,100,1
12,2013,35+_TO_40,4,13900,4
12,2014,35+_TO_40,1,600,1
12,2015,30+_TO_35,1,36,1
12,2015,35+_TO_40,2,1006,1
12,2016,20+_TO_25,1,2500,1
12,2016,30+_TO_35,1,100,1
12,2016,35+_TO_40,1,500,1
12,2018,35+_TO_40,1,110,1
